id,country_id,region_id,city,latitude,longitude,time_zone
10,254,122,Mobile,30.68,-88.09,-06:00
23,0,0,,,,
277,254,127,Eagle,39.6,-106.76,-07:00
429,254,135,Macomb,40.45,-90.67,-06:00
616,254,145,Redwood Falls,44.49,-95.1,-06:00
687,254,149,Burwell,41.92,-98.98,-06:00
1153,254,172,Burlington,44.48,-73.21,-05:00
1154,254,172,Montpelier,44.27,-72.58,-05:00
1155,254,172,Newport,44.92,-72.2,-05:00
1156,254,172,Rutland,43.62,-72.95,-05:00
1157,254,172,Saint Johnsbury,44.41,-71.97,-05:00
1158,254,172,Wilmington,42.88,-72.89,-05:00
1163,165,76,Ulaangom,49.96,92.03,+08:00
1165,33,8,Rio Branco,-8.23,-73.21,-05:00
1166,33,1219,BelÇm,-1.45,-48.48,-04:00
1171,114,49,Denpasar,-8.65,115.21,+08:00
1172,33,10,Macap†,0.03,-51.05,-04:00
1173,33,11,Salvador,-12.98,-38.51,-03:00
1175,33,13,Teresina,-5.08,-42.81,-03:00
1180,254,166,Salt Lake City,40.73,-111.88,-07:00
1181,33,15,Foz do Iguaáu,-25.55,-54.58,-03:00
1182,43,35,Montreal,45.5,-73.58,-05:00
1185,203,3544,Ulan-Ude,51.83,107.61,+03:00
1189,203,3608,Izhevsk,56.85,53.23,+03:00
1190,203,3617,Birobidzhan,48.8,132.95,+03:00
1191,159,56,Hermosillo,29.06,-110.96,-07:00
1193,159,2891,Tepic,21.51,-104.88,-07:00
1196,165,2738,Ondorhaan,47.31,110.65,+08:00
1197,165,80,Choibalsan,48.43,114.86,+08:00
1201,33,16,Macei¢,-9.66,-35.71,-02:00
1202,33,17,Jo?o Pessoa,-7.11,-34.86,-03:00
1203,33,18,Boa Vista,-21.13,-41.56,-04:00
1204,33,19,Aracaju,-10.91,-37.06,-03:00
1205,43,36,Edmonton,53.55,-113.5,-07:00
1206,43,37,Toronto,43.66,-79.41,-05:00
1211,159,59,Guadalajara,20.66,-103.33,-06:00
1212,159,60,Pachuca,20.11,-98.73,-06:00
1213,159,61,Cuernavaca,18.91,-99.25,-06:00
1214,159,62,Tuxtla Gutierrez,16.75,-93.11,-06:00
1215,159,63,Villahermosa,17.98,-92.91,-06:00
1216,159,2896,Merida,24.55,-98.91,-06:00
1217,165,81,Moron,49.64,100.15,+08:00
1218,165,82,Suhbaatar,50.23,106.2,+08:00
1221,254,133,Honolulu,21.3,-157.84,-10:00
1222,254,138,Kansas City,39.11,-94.67,-06:00
1225,14,1,Melbourne,-37.81,144.96,+10:00
1226,14,2,Hobart,-42.91,147.33,+10:00
1227,33,20,Man†us,-3.11,-60.02,-04:00
1228,33,21,S?o Lu°s,-2.51,-44.26,-03:00
1229,33,22,Porto Velho,-9.6,-64.88,-03:00
1230,43,38,Winnipeg,49.88,-97.16,-06:00
1231,203,105,Makhachkala,42.97,47.5,+03:00
1232,203,106,Yoshkar-Ola,56.63,47.87,+03:00
1235,114,2160,Ujung Pandang,-5.11,119.4,+08:00
1236,159,2887,Saltillo,20.31,-98.26,-06:00
1237,159,66,Acapulco,16.85,-99.91,-06:00
1238,165,2729,Tsetserleg,49.5,97.6,+08:00
1242,254,131,Miami,25.76,-80.27,-05:00
1249,33,1220,Recife,-8.05,-34.9,-02:00
1250,33,24,S?o Paulo,-23.53,-46.61,-03:00
1251,33,25,Palmas,-10.42,-48.43,-03:00
1253,203,110,Kazan,55.75,49.13,+03:00
1254,159,2893,Queretaro,32.55,-115.15,-06:00
1255,159,2890,Morelia,22.48,-102.38,-06:00
1265,254,149,Omaha,41.21,-96.06,-06:00
1267,254,158,Oklahoma City,35.41,-97.51,-06:00
1268,14,3,Brisbane,-27.5,153.01,+10:00
1275,159,69,Monterrey,25.66,-100.31,-06:00
1276,159,70,Ciudad Victoria,23.73,-99.13,-06:00
1277,159,71,Leon,21.11,-101.66,-06:00
1278,165,2737,Altai,44.91,95.41,+08:00
1283,33,26,Cuiab†,-15.58,-56.08,-04:00
1284,43,39,Halifax,44.65,-63.6,-04:00
1285,165,2731,Olgii,49.03,92.03,+08:00
1288,254,152,Newark,40.73,-74.18,-05:00
1291,33,27,Belo Horizonte,-19.91,-43.93,-03:00
1292,43,40,Regina,50.45,-104.61,-06:00
1293,43,41,St. John's,47.57,-52.73,-03:50
1295,159,72,Chetumal,18.5,-88.3,-06:00
1298,43,42,Fredericton,45.95,-66.63,-04:00
1303,254,161,Newport,41.47,-71.32,-05:00
1306,33,28,Vit¢ria,-20.31,-40.35,-03:00
1307,33,29,Rio de Janeiro,-22.9,-43.23,-03:00
1308,33,30,Florian¢polis,-27.58,-48.56,-03:00
1311,14,4,Sydney,-33.88,151.21,+10:00
1312,14,5,Adelaide,-34.93,138.6,+09:30
1314,114,2151,Pontianak,-0.03,109.33,+08:00
1315,114,2154,Samarinda,-0.5,117.15,+08:00
1316,159,73,Mexicali,32.66,-115.48,-08:00
1317,254,155,Raleigh,35.8,-78.64,-05:00
1319,33,1217,Bras°lia,-15.78,-47.91,-03:00
1320,43,43,Vancouver,49.25,-123.13,-08:00
1323,14,6,Perth,-31.93,115.83,+08:00
1324,33,32,Porto Alegre,-30.03,-51.2,-03:00
1327,14,7,Darwin,-12.46,130.83,+09:30
1328,33,33,Campo Grande,-20.45,-54.61,-04:00
1329,33,34,Natal,-5.78,-35.21,-02:00
1331,159,74,La Paz,24.16,-110.3,-07:00
1332,43,45,Charlottetown,46.23,-63.13,-04:00
1333,43,46,Yellowknife,62.45,-114.35,-07:00
1336,14,174,Canberra,-35.28,149.21,+10:00
1342,165,193,Bulgan,47.31,101.1,+08:00
1343,165,194,Hovd,48.01,91.63,+08:00
1344,159,2886,Campeche,19.85,-90.53,-06:00
1345,159,196,Chihuahua,28.63,-106.08,-07:00
1346,159,197,Colima,19.23,-103.71,-06:00
1347,159,198,Durango,24.03,-104.66,-06:00
1348,159,2889,Estado De Mexico,18.01,-90.86,-06:00
1350,159,201,Oaxaca,32.33,-115.2,-06:00
1353,159,204,Tlaxcala,19.31,-98.23,-06:00
1355,159,206,Zacatecas,22.78,-102.58,-06:00
1362,203,3546,Chelyabinsk,55.16,61.4,+03:00
1364,203,3548,Chukchi,64.75,177.48,+03:00
1367,203,3552,Irkutsk,52.26,104.33,+03:00
1368,203,3553,Ivanovo,55.48,54.83,+03:00
1371,203,3561,Kemerovo,55.33,86.08,+03:00
1384,203,3578,Moscow,55.75,37.58,+03:00
1386,203,3582,Novgorod,42.65,130.8,+03:00
1387,203,3583,Novosibirsk,55.03,82.91,+03:00
1388,203,3584,Omsk,55,73.4,+03:00
1390,203,3585,Orenburg,51.78,55.05,+03:00
1392,203,3588,Perm',58,56.25,+03:00
1396,203,3596,Saint Petersburg,59.89,30.26,+03:00
1398,203,3597,Saratov,53.11,54.86,+03:00
1400,203,3599,Smolensk,54.78,32.04,+03:00
1402,203,3602,Tambov,52.73,41.43,+03:00
1410,203,3612,Volgograd,48.8,44.58,+03:00
1416,56,1322,Kinsasa,1.97,14.77,+01:00
3332,39,1192,Moulmein,16.5,97.63,+06:30
3333,11,1018,Gyumri,40.79,43.83,+04:00
3334,11,1018,Spitak,40.79,44.27,+04:00
3335,11,1017,Vanadzor,40.8,44.49,+04:00
3336,11,1022,Yerevan,40.18,44.5,+04:00
3338,10,1051,Bahia Blanca,-38.71,-62.28,-03:00
3340,10,1055,Cordoba,-31.4,-64.18,-03:00
3341,10,1058,Crespo,-32.03,-60.31,-03:00
3342,10,1066,General Roca,-39.05,-67.53,-03:00
3343,10,1051,La Plata,-34.93,-57.94,-03:00
